"filename", "language", "PHP", "comment", "blank", "total"
"c:\xampp\htdocs\withadmin\app\Category.php", "PHP", 13, 0, 4, 17
"c:\xampp\htdocs\withadmin\app\CategoryDTO.php", "PHP", 12, 0, 4, 16
"c:\xampp\htdocs\withadmin\app\Console\Kernel.php", "PHP", 17, 19, 7, 43
"c:\xampp\htdocs\withadmin\app\Customer.php", "PHP", 22, 10, 2, 34
"c:\xampp\htdocs\withadmin\app\CustomerDTO.php", "PHP", 17, 0, 4, 21
"c:\xampp\htdocs\withadmin\app\CustomerOrderDTO.php", "PHP", 26, 0, 4, 30
"c:\xampp\htdocs\withadmin\app\CustomerOrderProductDTO.php", "PHP", 11, 0, 4, 15
"c:\xampp\htdocs\withadmin\app\CustomerPasswordReset.php", "PHP", 13, 0, 4, 17
"c:\xampp\htdocs\withadmin\app\Drink.php", "PHP", 36, 5, 4, 45
"c:\xampp\htdocs\withadmin\app\DrinkToMenu.php", "PHP", 17, 0, 6, 23
"c:\xampp\htdocs\withadmin\app\Exceptions\Handler.php", "PHP", 21, 24, 7, 52
"c:\xampp\htdocs\withadmin\app\Extra.php", "PHP", 20, 5, 6, 31
"c:\xampp\htdocs\withadmin\app\Helpers\helpers.php", "PHP", 105, 7, 14, 126
"c:\xampp\htdocs\withadmin\app\Http\Controllers\Auth\ForgotPasswordController.php", "PHP", 12, 15, 6, 33
"c:\xampp\htdocs\withadmin\app\Http\Controllers\Auth\LoginController.php", "PHP", 13, 20, 7, 40
"c:\xampp\htdocs\withadmin\app\Http\Controllers\Auth\RegisterController.php", "PHP", 36, 32, 9, 77
"c:\xampp\htdocs\withadmin\app\Http\Controllers\Auth\ResetPasswordController.php", "PHP", 13, 20, 7, 40
"c:\xampp\htdocs\withadmin\app\Http\Controllers\Auth\VerificationController.php", "PHP", 15, 20, 7, 42
"c:\xampp\htdocs\withadmin\app\Http\Controllers\CategoryController.php", "PHP", 70, 8, 21, 99
"c:\xampp\htdocs\withadmin\app\Http\Controllers\Controller.php", "PHP", 10, 0, 4, 14
"c:\xampp\htdocs\withadmin\app\Http\Controllers\CustomerController.php", "PHP", 528, 15, 112, 655
"c:\xampp\htdocs\withadmin\app\Http\Controllers\DashboardController.php", "PHP", 18, 6, 8, 32
"c:\xampp\htdocs\withadmin\app\Http\Controllers\DrinkController.php", "PHP", 303, 11, 55, 369
"c:\xampp\htdocs\withadmin\app\Http\Controllers\HelpController.php", "PHP", 122, 8, 25, 155
"c:\xampp\htdocs\withadmin\app\Http\Controllers\HomeController.php", "PHP", 88, 10, 19, 117
"c:\xampp\htdocs\withadmin\app\Http\Controllers\LoginController.php", "PHP", 14, 1, 6, 21
"c:\xampp\htdocs\withadmin\app\Http\Controllers\MailerController.php", "PHP", 45, 0, 12, 57
"c:\xampp\htdocs\withadmin\app\Http\Controllers\MealController.php", "PHP", 408, 14, 81, 503
"c:\xampp\htdocs\withadmin\app\Http\Controllers\MenuController.php", "PHP", 334, 11, 72, 417
"c:\xampp\htdocs\withadmin\app\Http\Controllers\NotificationController.php", "PHP", 32, 2, 13, 47
